name,lat,lng,dist_text,dura_text,dist_value,dura_value
阿坝藏族羌族自治州,31.905511577266523,102.2314154617502,1443.2公里,16.9小时,1443213.0,60731.0
阿克苏地区,41.175029860077494,80.26694348473501,4004.6公里,45小时,4004592.0,161833.0
阿拉尔市,40.55326389470603,81.28735422539545,4054.2公里,46小时,4054168.0,165506.0
阿拉善盟,38.85827588305696,105.73537746449358,1471.1公里,15.7小时,1471073.0,56494.0
阿勒泰地区,47.850727870101956,88.14792620373525,3683.5公里,40.5小时,3683521.0,145858.0
阿里地区,32.50686601763335,80.11277692192645,5579公里,71.9小时,5578976.0,258933.0
安康市,32.69051277057377,109.03560108265745,626.5公里,7.3小时,626505.0,26199.0
安庆市,30.53095656804304,117.0636039049188,344.1公里,4.2小时,344126.0,15008.0
安顺市,26.25925237871499,105.95441712388904,1129.6公里,13.2小时,1129630.0,47544.0
安阳市,36.10594098401491,114.3995004217743,673.3公里,7.2小时,673332.0,25799.0
鞍山市,41.11505359694933,123.00137251399408,1764.8公里,19.3小时,1764831.0,69540.0
澳门,22.53615142365805,114.0688464555682,1059.8公里,12.2小时,1059826.0,43826.0
巴彦淖尔市,40.7493594895728,107.39439808372492,1652.6公里,17.2小时,1652617.0,61939.0
巴音郭楞蒙古自治州,41.770287330450394,86.15171386533258,3468.6公里,39.3小时,3468619.0,141468.0
巴中市,31.872888585956545,106.7515853031645,893.7公里,10.4小时,893672.0,37416.0
白城市,45.62550435999602,122.8455906084976,2218.3公里,23.9小时,2218253.0,85924.0
白沙黎族自治县,19.231378733012683,109.45747066911305,1648公里,18.7小时,1647977.0,67240.0
白山市,41.93962720532889,126.42963008937572,2091.5公里,23.3小时,2091536.0,83906.0
白银市,36.55082533041454,104.14445082834351,1442.3公里,15.7小时,1442263.0,56692.0
百色市,23.90818593429596,106.62458932565384,1292.2公里,13.9小时,1292173.0,50043.0
蚌埠市,32.921523704350825,117.39551332813694,472.3公里,5.6小时,472338.0,20030.0
包头市,40.66292878826139,109.84654350721243,1503.5公里,17.1小时,1503535.0,61736.0
宝鸡市,34.368915642869986,107.24457536704041,909.4公里,10.3小时,909359.0,37238.0
保定市,38.879987768455344,115.47146383768579,1023.2公里,10.7小时,1023211.0,38555.0
保山市,25.139038793265964,99.17727328581788,2039.5公里,24.8小时,2039511.0,89428.0
保亭黎族苗族自治县,18.646909955375843,109.70348151429985,1724.1公里,19.9小时,1724101.0,71551.0
北海市,21.48683649576942,109.12653321256599,1329.8公里,14.6小时,1329833.0,52453.0
北京市,39.91092454729957,116.4133836971231,1151公里,12.4小时,1150992.0,44526.0
北屯市,47.33886454910664,87.84346630198361,3644.6公里,40小时,3644598.0,144091.0
本溪市,41.492916460552905,123.69250712420832,1822.8公里,19.9小时,1822832.0,71623.0
毕节市,27.290215083425952,105.2985887950112,1180.9公里,13.4小时,1180867.0,48197.0
滨州市,37.3881961960769,117.9774040171467,994.6公里,10.7小时,994601.0,38609.0
亳州市,33.850642695788835,115.78446321127451,511.2公里,5.9小时,511246.0,21277.0
博尔塔拉蒙古自治州,44.9121964134647,82.07291475827435,3776.2公里,42.6小时,3776154.0,153411.0
沧州市,38.31021514110704,116.84558075595015,1021.7公里,11小时,1021653.0,39439.0
昌都市,31.14734654932703,97.17958359408598,2298.8公里,32.4小时,2298814.0,116610.0
昌吉回族自治州,44.016854159919866,87.3150016244744,3296.1公里,37.2小时,3296104.0,133900.0
昌江黎族自治县,19.303997876684264,109.06246408734344,1653.1公里,18.6小时,1653077.0,66936.0
常德市,29.037749999406877,111.70545217995836,387公里,4.9小时,386954.0,17550.0
常州市,31.815795653327843,119.98148471327892,661.9公里,8小时,661903.0,28793.0
朝阳市,41.579820864755675,120.45749949793276,1653.8公里,17.8小时,1653762.0,64184.0
潮州市,23.66262319261589,116.62947017362819,1051.3公里,11.7小时,1051265.0,42092.0
郴州市,25.77668327360186,113.02146049909462,623.1公里,7.3小时,623147.0,26304.0
成都市,30.65582187841641,104.08153351042463,1140.5公里,14小时,1140536.0,50354.0
承德市,40.957856012338034,117.9693975099668,1396.1公里,15小时,1396062.0,53850.0
澄迈县,19.74434867164637,110.01351091010905,1526.3公里,17.4小时,1526347.0,62642.0
池州市,30.67088379076453,117.49842096159624,405.3公里,4.8小时,405312.0,17162.0
赤峰市,42.261686103411606,118.89552039751949,1587.1公里,17小时,1587072.0,61361.0
崇左市,22.383117234663306,107.3715202061015,1327.2公里,14.3小时,1327245.0,51445.0
滁州市,32.26127087204081,118.3394061359658,500公里,5.9小时,500022.0,21110.0
楚雄彝族自治州,25.051773565340376,101.53441248050268,1703.3公里,20.3小时,1703283.0,73148.0
达州市,31.21430772392745,107.47459385897542,780.8公里,9.4小时,780822.0,33761.0
大理白族自治州,25.59760490545194,100.23651930044413,1869.5公里,22.5小时,1869515.0,81176.0
大连市,38.918953666785605,121.62163148459284,1928.8公里,20.9小时,1928752.0,75220.0
大庆市,46.59363317672175,125.1086576340204,2348.8公里,25.8小时,2348814.0,92835.0
大同市,40.0824687161612,113.30643625858623,1221.1公里,13.5小时,1221144.0,48742.0
大兴安岭地区,39.732555236554475,116.34862521223101,1126.8公里,11.8小时,1126802.0,42475.0
丹东市,40.00640870559368,124.3615472815908,1928.6公里,21小时,1928609.0,75552.0
儋州市,19.5271461100442,109.58745583568613,1605.2公里,18.3小时,1605178.0,65773.0
德宏傣族景颇族自治州,24.43801070275812,98.59135935611413,2175.3公里,26.7小时,2175257.0,96091.0
德阳市,31.133115003656755,104.40441936496448,1154.1公里,13.8小时,1154089.0,49579.0
德州市,37.441308454576266,116.36555674397472,899.1公里,9.7小时,899136.0,34925.0
迪庆藏族自治州,27.82518468364326,99.70952999013956,2099.8公里,23.7小时,2099803.0,85162.0
定安县,19.687119947910173,110.36553348340986,1537.1公里,17.9小时,1537062.0,64311.0
定西市,35.586832926561875,104.63242008306301,1285.8公里,14小时,1285813.0,50352.0
